keys,en,es
NARRATOR_BATTLE_INTRODUCTION_GENERIC_1,Looks like we got a rumble!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_2,Ohh!~Monsters and heroes! I bet they’re gunna fight!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_3,This is just like in one of my japanese animes!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_4,Here comes a SHOWDOWN!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_5,Monsters?~Heroes? You know the drill!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_6,"Hoo boy, we got a real TUSSLE on our hands!",
NARRATOR_BATTLE_INTRODUCTION_GENERIC_7,Is this a kerfuffle? I don’t know if my little heart can take it!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_8,Are you ready to fight?~Here we go!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_9,The circle of life continues…~also here’s a fight!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_10,Boom!~It’s a royal rumble!!,
NARRATOR_BATTLE_INTRODUCTION_GENERIC_11,FIGHT!~FIGHT!~FIGHT!,
,,
NARRATOR_BATTLE_FINISHED_HEROES_WIN_GENERIC,The heroes defeated the monsters! And all was good.,
NARRATOR_BATTLE_FINISHED_MONSTERS_WIN_GENERIC,"{shock} Oh no!~The ""scary"" monsters won! {sad} What will happen now?",
NARRATOR_BATTLE_FINISHED_TIED_GENERIC,The heroes managed to ward off the monsters... {sad} but not without heavy sacrifices.,
NARRATOR_MONSTER_FILL_WITH_EVIL,{surprised} The monster sees two heroes up against them and is enraged. {shock} The monster's power has skyrocketed!,
NARRATOR_HERO_FILLED_WITH_GUTS,{determined} The hero sees two monsters up against them and is filled with courage. {cheer} The hero's power has skyrocketed!,
NARRATOR_DREW_HP_ITEM,Half of an HP bar has been pulled! All characters have 50% more HP!,
NARRATOR_DREW_MP_ITEM,An MP bar has been pulled! All magic attacks have been powered up!,
NARRATOR_DREW_FLEE_ITEM,A Flee button has been pulled! All characters have increased evasion!,
NARRATOR_DREW_ATTACK_ITEM,An Attack button has been pulled! All regular attacks have been powered up!,
,,
MANDOLIN_BASH_ACTION_NAME,Mandolin Bash,
NARRATOR_MANDOLIN_BASH_USE_1,Bard uses their mandolin like a hammer. Hope it doesn't break...,
NARRATOR_MANDOLIN_BASH_USE_2,"Bard brings their mandolin down like a mallet! Careful, looks like it's falling apart...",
NARRATOR_MANDOLIN_BASH_USE_3,{surprised} Bard SMASHES the mandolin into pieces! {sad} I TOLD you it was going to break!,
,,
DISCORD_ACTION_NAME,Discord,
NARRATOR_DISCORD_USE_1,{confused} Bard plays a really really painful chord...~is that even music?,
NARRATOR_DISCORD_RECOIL_EFFECT,The Monster is still reeling from the discordant chord...~Yikes!!,
,,
HECKIN_GOOD_SONG_ACTION_NAME,A Heckin' Good Song,
NARRATOR_HECKIN_GOOD_SONG_USE_1,"What a good song!! The Monsters are dancing along, maybe they will be distracted by it and not attack!!",
NARRATOR_HECKIN_GOOD_SONG_POWERED_UP_USE_1,"Wow, the song has really improved! The Monsters are dancing along, they look very distracted. Will they remember to attack?",
,,
NARRATOR_HECKIN_GOOD_SONG_MONSTERS_DANCING,The monsters have that Heckin' Good Song stuck in their heads still!,
NARRATOR_HECKIN_GOOD_SONG_MONSTER_DISTRACTED,Looks like the monster forgot to attack! It was grooving to Bard's song!,
,,
NARRATOR_DISCORD_CANCELS_HECKIN_GOOD_SONG,Bard plays a really really painful chord... {sad} The monsters stop dancing along to that Heckin' Good Song.~You ruined it.,
,,
FOUR_CHORD_STRUM_ACTION_NAME,4 Chord Strum,
NARRATOR_FOUR_CHORD_STRUM_USE_1,"{cheer} Bard plays a steady, catchy song, making all of their music SLAP way harder!",
,,
FOCUS_KI_ACTION_NAME,Focus Ki,
NARRATOR_FOCUS_KI_USE_1,Monk focuses their ki! {determined} Their fists burn with unlocked power!!,
,,
PANCHI_ACTION_NAME,Panchi,
NARRATOR_PANCHI_USE_1,{cheer} Monk unleashes a disciplined punch!,
NARRATOR_PANCHI_USE_2,{cheer} A clean punch. *clicks mouth*~Noice.,
NARRATOR_PANCHI_USE_3,{shock} DANG!~Nailed ‘em!,
NARRATOR_PANCHI_USE_4,A punch is a punch is a punch!,
NARRATOR_PANCHI_USE_5,Monk does what Monk does best… {cheer} punch!,
NARRATOR_PANCHI_USE_6,{cheer} Monk kicks!! Just kidding they punch.,
,,
CHIKARA_PANCHI_ACTION_NAME,Chikara o Bichikusuru Panchi,
NARRATOR_CHIKARA_PANCHI_USE_START,Monk charges up their fighting spirit...,
NARRATOR_CHIKARA_PANCHI_USE_ATTACK,{determined} Monk unleashes all of their charged up fighting spirit in the form of a FIST!!,
,,
ARMADILLO_STANCE_ACTION_NAME,Armadillo Stance,
NARRATOR_ARMADILLO_STANCE_USE,"Monk changes to the Armadillo Stance, trading their attack power with a more defensive form!",
,,
DIVE_BOMB_ACTION_NAME,Dive Bomb,
NARRATOR_DIVE_BOMB_USE_1,Harpy DIVES on our heroes!!~Oof.mp3!,
NARRATOR_DIVE_BOMB_USE_2,Harpy swoops down like that one boss in the Batman NES game!~You know the one.,
NARRATOR_DIVE_BOMB_USE_3,Harpy falls with STYLE…~and seriously damages ya’ll.,
NARRATOR_DIVE_BOMB_USE_4,Harpy hits terminal velocity and SLAMS into ya’ll!,
,,
NARRATOR_DIVE_BOMB_RECOIL,The recoil from the dive bomb hurt Harpy!,
,,
SWOOP_ACTION_NAME,Swoop,
NARRATOR_SWOOP_USE_1,"Harpy SWOOPS atcha, wow!~So fast!",
NARRATOR_SWOOP_USE_2,Dang that was cool! All those sounds effects and everything.,
NARRATOR_SWOOP_USE_3,Harpy slams you down onto the ground from up high!,
